time_s,source,accepted,diversity_score,objective,pool_best_obj
0.0487255,worker_0,1,1,37322,inf
0.0491663,worker_1,0,0,37322,37322
0.0495456,worker_2,0,0,37322,37322
0.0684772,worker_1,0,0.0155844,37308.7,37322
0.0823326,worker_1,0,0.0233766,37299,37322
0.0962087,worker_1,0,0.0207792,37266.6,37322
0.110853,worker_1,0,0.025974,37259.6,37322
0.125291,worker_1,0,0.0337662,37259.1,37322
0.138223,worker_1,0,0.0467532,36717.4,37322
0.151212,worker_1,0,0.0571429,36342.9,35535.1
0.163452,worker_1,0,0.0649351,36011.8,35535.1
0.176385,worker_1,0,0.0727273,35782.6,35535.1
0.187729,worker_1,0,0.0831169,35706.7,35535.1
0.198439,worker_1,0,0.0935065,35657,35535.1
0.210357,worker_1,1,0.106494,35558.2,35535.1
0.222198,worker_1,0,0.012987,35490.8,35535.1
0.233371,worker_1,0,0.0233766,35253.1,35535.1
0.244556,worker_1,0,0.0363636,35189.4,35535.1
0.261544,worker_1,0,0.0493506,35138.2,26224.2
0.272629,worker_2,0,0.0103896,37039,26224.2
0.274872,worker_1,0,0.0649351,35111.8,26224.2
0.286039,worker_1,0,0.0805195,34979.3,26224.2
0.299484,worker_1,0,0.0987013,34954.2,26224.2
0.311804,worker_1,1,0.114286,34936.6,26224.2
0.32536,worker_1,0,0.0155844,34919.2,26224.2
0.337349,worker_1,0,0.0181818,34901.6,26224.2
0.348786,worker_1,0,0.0285714,34876.8,26224.2
0.360528,worker_1,0,0.0363636,34850.8,26224.2
0.374184,worker_1,0,0.0441558,34819.2,26224.2
0.386439,worker_0,1,0.324675,36720.2,26224.2
0.386453,worker_1,0,0.0493506,34797.5,26224.2
0.398757,worker_1,0,0.0545455,34771.2,26224.2
0.410689,worker_1,0,0.0545455,34741,26224.2
0.42295,worker_1,0,0.0701299,34711,26224.2
0.434995,worker_1,0,0.0727273,34692.6,26224.2
0.447913,worker_1,0,0.0779221,34627.1,26224.2
0.458748,worker_1,0,0.0831169,34563.4,26224.2
0.463405,worker_0,1,0.132468,36356.1,26224.2
0.469417,worker_1,0,0.0831169,34399.6,26224.2
0.480302,worker_1,0,0.0961039,34379,26224.2
0.483964,worker_2,0,0.0181818,36767.4,26224.2
0.491472,worker_1,1,0.101299,34345.6,26224.2
0.502199,worker_1,0,0.0103896,34327.7,26224.2
0.513102,worker_1,0,0.0233766,34304.7,26224.2
0.526282,worker_1,0,0.0363636,34289.1,26224.2
0.537931,worker_1,0,0.0519481,34271.4,26224.2
0.542606,worker_0,1,0.109091,35600.7,26224.2
0.550002,worker_1,0,0.0675325,34251.6,26224.2
0.561247,worker_1,0,0.0935065,34213.9,26224.2
0.573203,worker_1,1,0.106494,34197.9,26224.2
0.584875,worker_1,0,0.012987,34179.5,26224.2
0.596942,worker_1,0,0.0285714,34163.8,26224.2
0.59871,worker_0,1,0.114286,35027.5,26224.2
0.608942,worker_1,0,0.0623377,34114.5,26224.2
0.617052,worker_0,1,0.12987,34134.7,26224.2
0.621693,worker_1,0,0.0727273,34102.6,26224.2
0.633797,worker_1,0,0.0883117,34085.1,26224.2
0.646388,worker_1,0,0.0961039,34061.3,26224.2
0.657906,worker_1,1,0.101299,34044.8,26224.2
0.664954,worker_0,1,0.218182,33924.2,26224.2
0.669189,worker_1,0,0.0103896,34034.8,26224.2
0.680543,worker_1,0,0.0233766,34026.2,26224.2
0.692167,worker_1,0,0.038961,34014.9,26224.2
0.697126,worker_2,0,0.0233766,36649.3,26224.2
0.702911,worker_1,0,0.0545455,33997.4,26224.2
0.713681,worker_1,0,0.0545455,33955.7,26224.2
0.725663,worker_1,0,0.0649351,33946.5,26224.2
0.736619,worker_1,0,0.0727273,33935.8,26224.2
0.747906,worker_1,0,0.0727273,33926.5,26224.2
0.759258,worker_1,0,0.0883117,33896.4,26224.2
0.769723,worker_1,1,0.101299,33800.2,26224.2
0.780614,worker_1,0,0.0103896,33762.8,26224.2
0.791006,worker_1,0,0.0181818,33698.6,26224.2
0.80153,worker_1,0,0.025974,33674.8,26224.2
0.812607,worker_1,0,0.0337662,33651.5,26224.2
0.81476,worker_0,1,0.14026,33708.8,26224.2
0.823135,worker_1,0,0.0415584,33590.1,26224.2
0.833511,worker_1,0,0.0571429,33573.5,26224.2
0.843939,worker_1,0,0.0675325,33561.2,26224.2
0.855017,worker_1,0,0.0727273,33536.5,26224.2
0.865258,worker_1,0,0.0779221,33523.7,26224.2
0.867968,worker_0,1,0.2,33487,26224.2
0.875722,worker_1,0,0.0831169,33449.2,26224.2
0.886368,worker_1,0,0.0961039,33416.8,26224.2
0.897344,worker_1,1,0.109091,33411.5,26224.2
0.903805,worker_2,0,0.0285714,36588,26224.2
0.908363,worker_1,0,0.012987,33406.6,26224.2
0.925092,worker_1,0,0.025974,33396.3,26224.2
0.958737,worker_1,0,0.0415584,33386.4,26224.2
0.970647,worker_1,0,0.0519481,33375.5,26224.2
0.979234,worker_0,1,0.145455,33252.1,26224.2
0.982588,worker_1,0,0.0649351,33365.2,26224.2
