time_s,pop_size,avg_pairwise_dist,best_obj,worst_obj
6.84825,50,0.820253,26011.1,44060.4
11.9302,50,0.805352,26011.1,41019.1
16.9362,50,0.799042,26011.1,40517
21.9856,50,0.804518,26011.1,42613.2
26.9916,50,0.819814,25850.4,42613.2
32.0888,50,0.828264,25850.4,42613.2
37.0923,50,0.825823,25750.4,42613.2
42.1616,50,0.819019,25588.4,42613.2
47.2379,50,0.810739,25324,42613.2
52.2756,50,0.810281,25324,42613.2
57.2799,50,0.812264,25324,42613.2
62.2885,50,0.808922,25324,42613.2
67.376,50,0.798883,25292.4,42613.2
72.4675,50,0.797778,25292.4,42613.2
77.5209,50,0.793938,25292.4,42613.2
82.6127,50,0.787997,25276.2,42613.2
87.6785,50,0.774393,25262.4,42613.2
92.6859,50,0.774234,25232.5,42613.2
97.7403,50,0.772875,25232.5,42613.2
102.812,50,0.776566,25193.4,42613.2
107.883,50,0.779882,25170,44091.8
112.962,50,0.772569,25170,44091.8
118.02,50,0.765131,25170,44091.8
123.2,50,0.755755,25170,40871.3
128.297,50,0.748599,25170,40871.3
133.394,50,0.752204,25123.3,40871.3
138.447,50,0.753323,25123.3,40871.3
143.499,50,0.756334,25094.2,40871.3
148.503,50,0.756652,25094.2,40549.9
153.508,50,0.755689,25094.2,40549.9
158.565,50,0.752908,25094.2,40054.5
163.569,50,0.752244,25094.2,40054.5
168.594,50,0.755547,25094.2,40054.5
173.602,50,0.746267,25094.2,40054.5
178.683,50,0.738973,25094.2,40054.5
183.763,50,0.741422,25094.2,39815.9
188.843,50,0.739562,25094.2,39815.9
193.922,50,0.740073,25094.2,40199.4
198.957,50,0.738449,25094.2,39815.9
203.973,50,0.737616,25094.2,39815.9
209,50,0.739598,25094.2,39815.9
214.048,50,0.740448,25094.2,39815.9
219.127,50,0.739745,25094.2,37156.1
224.161,50,0.742043,25094.2,38966.6
229.209,50,0.748879,25094.2,38966.6
234.251,50,0.750707,25094.2,38966.6
239.284,50,0.739901,25094.2,40417.2
244.309,50,0.747011,25094.2,41437
249.36,50,0.744916,25094.2,40417.2
254.368,50,0.745226,25094.2,40417.2
259.423,50,0.736799,25094.2,40417.2
264.505,50,0.74559,25094.2,40417.2
269.566,50,0.745444,25094.2,40417.2
274.722,50,0.766022,25094.2,40417.2
279.774,50,0.765155,25094.2,40417.2
284.839,50,0.768102,25094.2,40417.2
289.894,50,0.772889,25094.2,40417.2
294.925,50,0.774658,25094.2,41126.4
300.002,50,0.766944,25094.2,41081.2
