time_s,dist_W0_W1,dist_W0_W2,dist_W1_W2
0.0491678,0,-1,-1
0.0495481,0,0,0
0.0684783,0.0155844,0,0.0155844
0.0823339,0.0233766,0,0.0233766
0.0962097,0.0207792,0,0.0207792
0.110854,0.025974,0,0.025974
0.125292,0.0337662,0,0.0337662
0.138224,0.0467532,0,0.0467532
0.151213,0.0571429,0,0.0571429
0.163453,0.0649351,0,0.0649351
0.176386,0.0727273,0,0.0727273
0.18773,0.0831169,0,0.0831169
0.19844,0.0935065,0,0.0935065
0.210358,0.106494,0,0.106494
0.222199,0.119481,0,0.119481
0.233376,0.122078,0,0.122078
0.244557,0.135065,0,0.135065
0.261546,0.14026,0,0.14026
0.27263,0.14026,0.0103896,0.132468
0.274872,0.155844,0.0103896,0.148052
0.28604,0.171429,0.0103896,0.163636
0.299485,0.18961,0.0103896,0.181818
0.311805,0.205195,0.0103896,0.197403
0.325361,0.218182,0.0103896,0.21039
0.33735,0.220779,0.0103896,0.212987
0.348787,0.228571,0.0103896,0.220779
0.360529,0.236364,0.0103896,0.228571
0.374185,0.244156,0.0103896,0.236364
0.38644,0.441558,0.332468,0.236364
0.386454,0.449351,0.332468,0.241558
0.398757,0.457143,0.332468,0.246753
0.410698,0.462338,0.332468,0.246753
0.422951,0.47013,0.332468,0.25974
0.434996,0.472727,0.332468,0.262338
0.447914,0.47013,0.332468,0.267532
0.458749,0.47013,0.332468,0.272727
0.463409,0.506494,0.394805,0.272727
0.469418,0.506494,0.394805,0.272727
0.480302,0.501299,0.394805,0.277922
0.483965,0.501299,0.4,0.272727
0.491472,0.501299,0.4,0.277922
0.5022,0.501299,0.4,0.280519
0.513103,0.503896,0.4,0.283117
0.526283,0.498701,0.4,0.280519
0.537932,0.498701,0.4,0.283117
0.542607,0.54026,0.438961,0.283117
0.550003,0.542857,0.438961,0.285714
0.561248,0.54026,0.438961,0.309091
0.573204,0.537662,0.438961,0.322078
0.584876,0.54026,0.438961,0.316883
0.596943,0.542857,0.438961,0.324675
0.59871,0.548052,0.462338,0.324675
0.608943,0.550649,0.462338,0.337662
0.617053,0.566234,0.475325,0.337662
0.621693,0.568831,0.475325,0.332468
0.633798,0.568831,0.475325,0.34026
0.646389,0.571429,0.475325,0.34026
0.657907,0.574026,0.475325,0.345455
0.664958,0.584416,0.498701,0.345455
0.66919,0.587013,0.498701,0.353247
0.680544,0.584416,0.498701,0.355844
0.692168,0.587013,0.498701,0.363636
0.697126,0.587013,0.496104,0.363636
0.702913,0.587013,0.496104,0.371429
0.713681,0.58961,0.496104,0.371429
0.725664,0.592208,0.496104,0.371429
0.73662,0.592208,0.496104,0.371429
0.747907,0.594805,0.496104,0.374026
0.759259,0.602597,0.496104,0.38961
0.769724,0.6,0.496104,0.38961
0.780615,0.607792,0.496104,0.397403
0.791006,0.602597,0.496104,0.402597
0.80153,0.607792,0.496104,0.407792
0.812608,0.612987,0.496104,0.412987
0.814761,0.636364,0.524675,0.412987
0.823136,0.641558,0.524675,0.418182
0.833512,0.638961,0.524675,0.425974
0.84394,0.638961,0.524675,0.431169
0.855017,0.641558,0.524675,0.436364
0.865259,0.641558,0.524675,0.438961
0.867969,0.65974,0.574026,0.438961
0.875723,0.662338,0.574026,0.441558
0.886369,0.67013,0.574026,0.449351
0.897345,0.677922,0.574026,0.45974
0.903807,0.677922,0.574026,0.462338
0.908364,0.672727,0.574026,0.457143
0.925093,0.675325,0.574026,0.464935
0.958738,0.675325,0.574026,0.462338
0.970648,0.675325,0.574026,0.45974
0.979235,0.67013,0.579221,0.45974
0.982588,0.67013,0.579221,0.467532
0.9948,0.672727,0.579221,0.47013
1.0067,0.667532,0.579221,0.472727
1.01788,0.67013,0.579221,0.472727
1.02967,0.67013,0.579221,0.472727
1.04129,0.675325,0.579221,0.475325
1.05315,0.680519,0.579221,0.480519
1.06506,0.680519,0.579221,0.485714
1.0771,0.683117,0.579221,0.488312
1.08918,0.683117,0.579221,0.490909
1.10094,0.683117,0.579221,0.490909
1.11305,0.683117,0.579221,0.488312
1.12954,0.683117,0.579221,0.485714
1.14213,0.675325,0.579221,0.496104
1.14227,0.675325,0.581818,0.493506
1.15405,0.672727,0.581818,0.496104
1.16883,0.672727,0.581818,0.493506
1.18383,0.672727,0.581818,0.493506
1.1962,0.672727,0.581818,0.501299
1.20789,0.672727,0.581818,0.501299
1.21991,0.677922,0.581818,0.501299
1.23207,0.677922,0.581818,0.506494
1.24413,0.677922,0.581818,0.514286
1.25654,0.677922,0.581818,0.514286
1.26816,0.677922,0.581818,0.519481
1.28044,0.675325,0.581818,0.516883
1.29327,0.67013,0.581818,0.519481
1.30508,0.677922,0.581818,0.519481
1.31701,0.677922,0.581818,0.527273
1.33017,0.685714,0.581818,0.527273
1.34253,0.683117,0.581818,0.522078
1.35313,0.683117,0.579221,0.524675
1.37298,0.685714,0.579221,0.522078
1.48872,0.74026,0.662338,0.522078
1.51979,0.742857,0.667532,0.522078
1.56303,0.742857,0.667532,0.516883
1.62309,0.745455,0.667532,0.522078
1.63411,0.742857,0.667532,0.519481
1.64431,0.768831,0.688312,0.519481
1.64462,0.768831,0.688312,0.522078
1.65535,0.771429,0.688312,0.522078
1.66602,0.771429,0.688312,0.524675
1.67673,0.768831,0.688312,0.527273
1.68793,0.774026,0.688312,0.52987
1.69886,0.776623,0.688312,0.535065
1.71008,0.779221,0.688312,0.542857
1.72176,0.781818,0.688312,0.545455
1.73335,0.784416,0.688312,0.550649
1.74484,0.784416,0.688312,0.550649
