instance,mode,constructor,improver,granular,tabu,time_limit,seed,objective,runtime,valid,percent_improvement_over_baseline,pyvrp_gap_percent,loads,solution,error
101_11_2.vrp,pyvrp_reference,pyvrp,pyvrp,,,30.0,0,1940.61,30.0208,True,,1.6489660467584935,"[1682, 1699, 1825, 1775, 1839, 1748, 1717, 1840, 1788, 1807, 1783]",,
101_8_1.vrp,pyvrp_reference,pyvrp,pyvrp,,,30.0,0,827.39,30.0156,True,,0.7747253411329564,"[195, 199, 157, 191, 194, 169, 200, 153]",,
121_7_1.vrp,pyvrp_reference,pyvrp,pyvrp,,,30.0,0,1042.12,30.0204,True,,14.128891106590414,"[188, 199, 199, 199, 193, 200, 197]",,
135_7_1.vrp,pyvrp_reference,pyvrp,pyvrp,,,30.0,0,1162.96,30.0244,True,,1.8599091972208743,"[2145, 2209, 2066, 2029, 1864, 2140, 2167]",,
151_15_1.vrp,pyvrp_reference,pyvrp,pyvrp,,,30.0,0,3055.23,30.0275,True,,0.9842139544322412,"[1509, 1518, 1544, 1544, 1542, 1537, 1540, 1537, 1541, 1451, 1477, 1477, 1540, 895, 1179]",,
16_5_1.vrp,pyvrp_reference,pyvrp,pyvrp,,,30.0,0,334.96,30.0192,True,,0.0,"[53, 55, 55, 53, 42]",,
200_16_2.vrp,pyvrp_reference,pyvrp,pyvrp,,,30.0,0,1305.71,30.0476,True,,15.477403098697254,"[200, 198, 199, 195, 200, 200, 200, 200, 200, 200, 198, 200, 199, 200, 198, 199]",,
21_4_1.vrp,pyvrp_reference,pyvrp,pyvrp,,,30.0,0,358.4,30.0152,True,,0.0,"[77, 83, 84, 85]",,
241_22_1.vrp,pyvrp_reference,pyvrp,pyvrp,,,30.0,0,709.17,30.0606,True,,6.170593792743629,"[200, 190, 200, 200, 190, 200, 200, 190, 200, 170, 200, 200, 200, 200, 200, 200, 200, 200, 180, 200, 200, 200]",,
262_25_1.vrp,pyvrp_reference,pyvrp,pyvrp,,,30.0,0,5550.3,30.0993,True,,5.471235789056449,"[496, 499, 500, 498, 464, 500, 476, 492, 466, 463, 488, 498, 488, 386, 499, 496, 500, 496, 458, 492, 485, 492, 482, 499, 493]",,
30_4_1.vrp,pyvrp_reference,pyvrp,pyvrp,,,30.0,0,505.01,30.0121,True,,0.0,"[3700, 1500, 3925, 3625]",,
386_47_1.vrp,pyvrp_reference,pyvrp,pyvrp,,,30.0,0,24474.47,30.1817,True,,52.49376186695769,"[65, 65, 65, 65, 65, 64, 65, 65, 65, 65, 65, 65, 64, 65, 64, 63, 56, 64, 64, 65, 65, 65, 65, 65, 65, 65, 49, 65, 64, 64, 64, 65, 55, 60, 65, 65, 64, 64, 62, 63, 65, 64, 65, 62, 56, 65, 63]",,
41_14_1.vrp,pyvrp_reference,pyvrp,pyvrp,,,30.0,0,861.79,30.0082,True,,0.0,"[52, 57, 56, 58, 60, 60, 50, 56, 57, 56, 57, 59, 60, 60]",,
45_4_1.vrp,pyvrp_reference,pyvrp,pyvrp,,,30.0,0,723.54,30.0095,True,,0.5818614036542605,"[1612, 2010, 1594, 2004]",,
51_5_1.vrp,pyvrp_reference,pyvrp,pyvrp,,,30.0,0,524.61,30.0075,True,,0.5832904443300634,"[152, 149, 160, 157, 159]",,
76_8_2.vrp,pyvrp_reference,pyvrp,pyvrp,,,30.0,0,740.66,30.0103,True,,0.26327869737802034,"[177, 180, 176, 166, 168, 178, 141, 178]",,
